 >> TARTAROS @ 17-Dec-2023 12:20:34 <<

   1: Black Soul Choir | 16 Horsepower
   2: What's Up? | 4 Non Blondes
   3: Hanno ucciso l'Uomo Ragno | 883
   4: Highway to Hell | AC/DC
   5: T.N.T. | AC/DC
   6: Prisencolinensinainciusol - Remastered | Adriano Celentano
   7: Crazy | Aerosmith
   8: Dude (Looks Like A Lady) | Aerosmith
   9: Quello Che Non C'è | Afterhours
  10: Playground Love (with Gordon Tracks) | Air, Gordon Tracks
  11: Dicitencello Vuje - 2005 Remaster | Alan Sorrenti
  12: End Titles | Alexandre Desplat
  13: Sola Una Volta | Alex Britti
  14: Frogs | Alice In Chains
  15: Moi... Lolita | Alizée
  16: Year of the Cat - 2001 Remaster | Al Stewart
  17: A Horse with No Name | America, George Martin
  18: I'm Outta Love - Radio Edit | Anastacia
  19: Sick and Tired | Anastacia
  20: Con te partirò | Andrea Bocelli
  21: True Colors | Ane Brun
  22: Celebrate | An Emotional Fish
  23: Twin Peaks Theme - Instrumental | Angelo Badalamenti
  24: Il mondo prima di te | Annalisa
  25: Wicked Ways | Anno Domini Beats
  26: Che fantastica storia è la vita | Antonello Venditti
  27: Notte prima degli esami | Antonello Venditti
  28: Barbie Girl | Aqua
  29: Non è un film | Articolo 31
  30: Different Pulses | Asaf Avidan
  31: My Tunnels Are Long And Dark These Days | Asaf Avidan
  32: Reckoning Song | Asaf Avidan, The Mojos
  33: Be Yourself | Audioslave
  34: Revelations | Audioslave
  35: Shape of Things to Come | Audioslave
  36: Runaway | AURORA
  37: Complicated | Avril Lavigne
  38: Losing Grip | Avril Lavigne
  39: Ubriaco canta amore | Bandabardò
  40: All I Want Is You | Barry Louis Polisar
  41: Can't Get Enough Of Your Love, Babe | Barry White
  42: You're The First, The Last, My Everything - Single Version | Barry White
  43: Bela Lugosi's Dead - Official Version | Bauhaus
  44: Charlie fa surf | Baustelle
  45: Full Length Mirror | Beatenberg
  46: Io sto bene (feat. Daniele Celona) | Bea Zanin, Daniele Celona
  47: Stayin' Alive | Bee Gees
  48: K.I.S.S.E.S | Bent
  49: Soho - 2015 Remaster | Bert Jansch, John Renbourn
  50: Rebel Girl | Bikini Kill
  51: bad guy | Billie Eilish
  52: Wondrous Place | Billy Fury
  53: Rebel Yell | Billy Idol
  54: White Wedding | Billy Idol
  55: N.I.B. | Black Sabbath
  56: Paranoid | Black Sabbath
  57: No Rain | Blind Melon
  58: Helicopter | Bloc Party
  59: The Love Within | Bloc Party
  60: This Modern Love | Bloc Party
  61: Heart Of Glass [24-Bit Digitally Remastered 01] | Blondie
  62: Maria | Blondie
  63: The Bad Touch | Bloodhound Gang
  64: Remember Me - Original Mix | Blue Boy
  65: (Don't Fear) The Reaper | Blue Öyster Cult
  66: Girls & Boys - 2012 Remaster | Blur
  67: Beppeanna | Bandabardò
  68: Parklife - 2012 Remaster | Blur
  69: She's So High - 2012 Remaster | Blur
  70: La crisi | Bluvertigo
  71: L'assenzio ( the Power of Nothing) | Bluvertigo
  72: Sono=sono | Bluvertigo
  73: Ballad of Hollis Brown | Bob Dylan
  74: Blind Willie McTell - Studio Outtake - 1983 | Bob Dylan
  75: Cold Irons Bound | Bob Dylan
  76: Hurricane | Bob Dylan
  77: Simple Twist of Fate | Bob Dylan
  78: Stuck Inside of Mobile with the Memphis Blues Again | Bob Dylan
  79: The Man in Me | Bob Dylan
  80: Visions of Johanna | Bob Dylan
  81: Old Time Rock & Roll | Bob Seger
  82: Have A Nice Day | Bon Jovi
  83: Livin' On A Prayer | Bon Jovi
  84: Smalltown Boy | Bronski Beat
  85: Slave To Love | Bryan Ferry
  86: La donna è blu | Bud Spencer Blues Explosion
  87: Human Touch | Bruce Springsteen
  88: Gaetano | Calcutta 
  89: Paracetamolo | Calcutta 
  90: Guarda L'Alba | Carmen Consoli
  91: Make Your Own Kind Of Music | Cass Elliot
  92: Moonshadow | Yusuf / Cat Stevens
  93: Sad Lisa | Yusuf / Cat Stevens
  94: Wild World | Yusuf / Cat Stevens
  95: My Life Is Going On - Música Original De La Serie De TV La Casa De Papel / Money Heist | Cecilia Krull
