 >> ULYSSES @ 17-Dec-2023 12:19:14 <<

   1: 3 Di 3 | Marlene Kuntz
   2: 4/3/1943 | Lucio Dalla
   3: Acqua e Sale | MINACELENTANO
   4: Acqua e sapone | Stadio
   5: A Cuore Scalzo | Max Gazzè
   6: Adelante! Adelante! | Francesco De Gregori
   7: A Fior Di Pelle | Marlene Kuntz
   8: Ahi Maria | Rino Gaetano
   9: Aida | Rino Gaetano
  10: Alla Fiera Dell'Est | Angelo Branduardi
  11: Almeno tu nell'universo - Original Version | Mia Martini
  12: Altrove | Eugenio In Via Di Gioia
  13: Altrove | Morgan
  14: A me me piace 'o blues - 2017 Remaster | Pino Daniele
  15: Amore che vieni, amore che vai | Fabrizio De André
  16: Amore Disperato - 2004 Remaster | Nada
  17: And The Radio Plays | C.S.I.
  18: Annarella | CCCP – Fedeli Alla Linea
  19: A pà - Live | Dalla De Gregori
  20: Ape Regina | Marlene Kuntz
  21: A Sangue Freddo | Il Teatro Degli Orrori
  22: Ascolta L'Infinito | Fiorella Mannoia
  23: Aspettando Il Sole | Neffa, Giuliano Palma
  24: Azzurro - Remastered | Adriano Celentano
  25: Ballata dell'amore cieco (o della vanità) | Fabrizio De André
  26: Balliamo sul mondo - Live; Remastered | Ligabue
  27: Bartali | Paolo Conte
  28: Bella | Jovanotti
  29: Bella Ciao | Modena City Ramblers
  30: Bocca di rosa | Fabrizio De André
  31: Borghese In Borghese | Fulminacci
  32: Born to be Abramo | Elio e le Storie Tese
  33: Brillantina Bengalese | Paolo Conte
  34: Calamita | Tre Allegri Ragazzi Morti
  35: Cangaceiro - Versione Mix | Litfiba
  36: Canzone Delle Osterie Di Fuori Porta | Samuele Bersani, Luca Carboni
  37: Capelli | Niccolò Fabi
  38: Cara | Lucio Dalla
  39: Catene | The Zen Circus
  40: Centro Di Gravità Permanente - Remastered | Franco Battiato
  41: Certe notti | Ligabue
  42: Che Cossé l'Amor | Vinicio Capossela
  43: Che Rumore Fa La Felicità? | Negrita
  44: Che sarà | José Feliciano
  45: Che T'Aggia Di' | MINACELENTANO
  46: Coccodrilli | Samuele Bersani
  47: Come è profondo il mare | Lucio Dalla
  48: Corto circuito | 99 Posse
  49: Cose Difficili | Casino Royale
  50: Costruire | Niccolò Fabi
  51: Crêuza de mä - New Mix 2014 | Fabrizio De André
  52: Cuccurucucù - Remastered | Franco Battiato
  53: Depressione Caspica | C.S.I.
  54: Diavolo Rosso - Live | Paolo Conte
  55: Di che cosa parla veramente una canzone? | Tre Allegri Ragazzi Morti
  56: Dispari | Marta Sui Tubi
  57: Disperato erotico stomp | Lucio Dalla
  58: Domani smetto | Articolo 31
  59: Donne | Zucchero, The Randy Jackson Band
  60: Don Raffaè | Fabrizio De André
  61: È Non È | Niccolò Fabi
  62: E tu? | Bud Spencer Blues Explosion
  63: Fenomeno | Fabri Fibra
  64: Fiume Sand Creek | Fabrizio De André
  65: Flowers Blossom | Thony
  66: Fossi Figo | Elio e le Storie Tese
  67: Fuga all'inglese | Paolo Conte
  68: Fuochi Nella Notte Di San Giovanni | C.S.I.
  69: Futura | Lucio Dalla
  70: Generale | Francesco De Gregori
  71: Gianna | Rino Gaetano
  72: Girasole | Giorgia
  73: Giudizi universali | Samuele Bersani
  74: Gli impermeabili | Paolo Conte
  75: Gli Spari Sopra (Celebrate) | Vasco Rossi
  76: Gocce di memoria | Giorgia
  77: Heaven Out of Hell | Elisa
  78: Henna | Lucio Dalla
  79: Ho Visto Un Re | Enzo Jannacci
  80: I Cento Passi | Modena City Ramblers
  81: Il ballo di San Vito | Vinicio Capossela
  82: Il Cielo D'Irlanda | Fiorella Mannoia
  83: Il mare d'inverno | Loredana Bertè
  84: Il mio corpo che cambia | Litfiba
  85: Il mio nemico | Daniele Silvestri
  86: Il Mio Nome E' Mai Più | Jovanotti, Luciano Ligabue, Piero Pelù
  87: Il pescatore | Fabrizio De André
  88: Il Ragazzo Della Via Gluck - Remastered | Adriano Celentano
  89: Il testamento di Tito | Fabrizio De André
  90: Il Timido Ubriaco | Max Gazzè
  91: Il vento - Live | Litfiba
  92: I migliori anni della nostra vita - Remastered 2019 | Renato Zero
  93: Imparare Dal Vento | Tiromancino
  94: Impossibile | Cosmo
  95: Impressioni Di Settembre | Marlene Kuntz
  96: Infinito | Raf
  97: In questa grande città - La prima cumbia | Tre Allegri Ragazzi Morti, Jovanotti
  98: In questo mondo di ladri | Antonello Venditti
  99: Inside | Benny Benassi, Chris Nasty
 100: In tutti i miei giorni | Raf
 101: In Un Giorno Di Pioggia | Modena City Ramblers
 102: Invisibili | Cristiano De André
 103: Io per lei - 2017 Remaster | Pino Daniele
 104: Io se fossi dio | Giorgio Gaber
 105: Io sono Francesco | Tricarico
 106: Istanbul | Litfiba
 107: Istrice | Subsonica
 108: I Treni A Vapore - Live Vol. 1 Version | Ivano Fossati
 109: Je So' Pazzo - Remastered 2008 | Pino Daniele
 110: La Canzone Che Scrivo Per Te | Marlene Kuntz
 111: La canzone del sole - Remastered | Lucio Battisti
 112: La canzone Mononota | Elio e le Storie Tese
 113: La domenica delle salme | Fabrizio De André
